session_id,participant_name,group,native_english,suspect_correct,status_correct,building_correct,floor_correct,zone_correct,total_correct,prop_correct,n_turns,duration_mins,avg_response_ms,n_silence,n_engaged,n_frust,n_neg
P12,NA,EXPERIMENTAL,NO,1,0,1,1,0,3,0.6,34,14.874035263061522,19.569027777777777,9,5,1,0
P13,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,1,0,87.8,0,0,0,0
P14,NA,CONTROL,NO,1,1,1,1,0,4,0.8,41,18.447508319218954,16.886541835357626,7,5,1,2
P15,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,2,0,24.941666666666666,0,0,0,0
P16,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,1,0,64.33333333333333,0,0,0,0
P17,NA,EXPERIMENTAL,NO,1,1,0,1,0,3,0.6,26,11.540340169270834,13.580092592592592,7,1,1,0
P18,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,7,2.237235414981842,25.653703703703705,2,0,1,0
P19,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,2,0.4269137303034464,39.625,1,0,0,0
P21,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,1,0,82.75,0,0,0,0
P22,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P23,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,1,0,156.15,0,0,0,0
P24,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,1,0,30.383333333333333,0,0,0,0
P25,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,1,0,55.666666666666664,0,0,0,0
P26,NA,EXPERIMENTAL,NO,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P27,Rachel,CONTROL,NO,1,1,0,0,0,2,0.4,40,13.535241234302521,12.568856209150328,5,1,1,1
P28,NA,EXPERIMENTAL,YES,0,1,1,1,1,4,0.8,32,11.621229406197866,20.104265873015873,6,2,0,1
P29,NA,CONTROL,NO,0,0,1,1,0,2,0.4,34,13.968125649293263,14.280086805555555,8,1,0,1
P30,NA,CONTROL,NO,0,1,1,1,1,4,0.8,26,11.983910779158274,12.698555555555556,3,0,0,2
P31,Brooke,EXPERIMENTAL,YES,1,1,1,1,1,5,1,32,13.998950429757436,15.084722222222222,5,3,0,0
P32,NA,EXPERIMENTAL,NO,0,0,0,0,0,0,0,39,15.739191313584646,14.968677156177156,6,3,1,2
P33,Lily,EXPERIMENTAL,NO,1,1,0,1,1,4,0.8,43,17.98200261592865,14.396444444444445,4,2,0,4
P35,NA,EXPERIMENTAL,NO,1,1,1,0,0,3,0.6,72,39.53898158073425,18.264502923976607,13,4,0,3
P36,Kyle,CONTROL,YES,1,1,1,1,1,5,1,46,15.105246611436208,13.397631578947369,3,6,1,0
P37,Brooke,EXPERIMENTAL,YES,0,0,1,1,0,2,0.4,33,15.54384583234787,19.786133040935674,7,6,2,0
P38,NA,CONTROL,NO,0,0,1,0,1,2,0.4,35,14.493989479541778,13.496628787878787,6,1,2,1
P39,NA,EXPERIMENTAL,NO,0,1,0,0,0,1,0.2,1,0,27.783333333333335,0,0,0,0
P40,NA,EXPERIMENTAL,NO,0,1,0,0,0,1,0.2,25,14.89275066057841,22.283501683501683,6,1,0,0
P41,NA,EXPERIMENTAL,YES,1,0,1,1,0,3,0.6,42,18.02567313114802,16.215784157363103,3,2,2,1
P42,Looking For,EXPERIMENTAL,NO,1,0,1,1,0,3,0.6,37,17.944320531686145,16.255354532163743,4,3,1,0
P43,NA,EXPERIMENTAL,NO,1,1,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA
P44,NA,EXPERIMENTAL,NO,1,1,1,1,1,5,1,1,0,29.416666666666668,0,0,0,0
P45,Mayan,EXPERIMENTAL,NO,1,1,1,1,1,5,1,35,14.60216833750407,16.9553367003367,3,3,0,1
P46,Lydia,CONTROL,NO,0,1,1,1,0,3,0.6,12,4.118189732233684,23.013194444444444,1,0,0,0
P47,NA,CONTROL,NO,0,1,1,1,0,3,0.6,17,8.054171645641327,24.825,5,0,1,0
P48,NA,EXPERIMENTAL,NO,0,0,1,1,0,2,0.4,29,15.633081118265787,18.82787037037037,2,5,2,1
